,revision_id,article_quality,article_title,country,population,region
705,1182830303,Start,Abdullah bin Isa Al Khalifa,Bahrain,1.6,WESTERN ASIA
2768,1167729311,Stub,Abdullahi Abdi Omar,Somalia,18.1,EASTERN AFRICA
5566,1244584882,Start,Abdullahi Abubakar Gumel,Nigeria,223.8,WESTERN AFRICA
4549,1204147143,Start,Abdullahi Amina Dika,Kenya,55.1,EASTERN AFRICA
5563,1185669268,Start,Abdullahi Idris Garba,Nigeria,223.8,WESTERN AFRICA
2693,1244290824,Start,Abdullahi Mohamed Ali,Somalia,18.1,EASTERN AFRICA
2745,1249185426,Stub,Abdullahi Mohamed Nur,Somalia,18.1,EASTERN AFRICA
5710,1140523031,Stub,Abdullahi Wuse,Nigeria,223.8,WESTERN AFRICA
732,1227285970,Stub,Abdullatif Al-Mahmood,Bahrain,1.6,WESTERN ASIA
6986,1231304528,Start,Abdullatif Al-Sayed,Yemen,34.4,WESTERN ASIA
6062,1247311135,Stub,Abdullatif bin Abdulaziz Al-Sheikh,Saudi Arabia,36.9,WESTERN ASIA
2709,1233766067,C,Abdulrahim Abby Farah,Somalia,18.1,EASTERN AFRICA
4796,1041934642,Stub,Abdulrahman Sewehli,Libya,6.9,NORTHERN AFRICA
739,1235804624,Start,Abdulrahman al-Nuaimi,Bahrain,1.6,WESTERN ASIA
3994,1190495892,Stub,Abdulsalam Abdullah,Iraq,45.5,WESTERN ASIA
7006,1237331344,Start,Abdulwahab al-Rawhani,Yemen,34.4,WESTERN ASIA
804,1250046255,C,Abdur Rahim (scholar),Bangladesh,173.5,SOUTH ASIA
2696,1226329759,Start,Abdurahman Abdullahi Baadiyow,Somalia,18.1,EASTERN AFRICA
6725,1244340264,Start,Abdurrahman Başkan,Turkey,85.6,WESTERN ASIA
100,1244008227,Start,Abdurrahman Dibra,Albania,2.7,SOUTHERN EUROPE
633,1241052691,C,Abdurrahman Fatalibeyli,Azerbaijan,10.2,WESTERN ASIA
6746,1168959559,Start,Abdurrahman Melek,Turkey,85.6,WESTERN ASIA
747,1245374007,Stub,Abdus Salam (Chattogram politician),Bangladesh,173.5,SOUTH ASIA
4513,1246468761,Start,Abdusalom Azizov,Uzbekistan,36.4,CENTRAL ASIA
152,1220281072,Stub,Abdyl Ypi,Albania,2.7,SOUTHERN EUROPE
262,1165626565,Start,Abel Chivukuvuku,Angola,36.7,MIDDLE AFRICA
7059,1246262690,C,Abel Muzorewa,Zimbabwe,16.7,EASTERN AFRICA
398,1245068036,C,Abel Posse,Argentina,46.3,SOUTH AMERICA
2172,1127419766,Stub,Abel Thauley-Ganga,Congo,6.1,MIDDLE AFRICA
2820,1217485696,C,Abelardo Vicioso,Dominican Republic,11.3,CARIBBEAN
2908,1222220837,Start,Abi Kusno Nachran,Indonesia,278.7,SOUTHEAST ASIA
687,1243510547,Start,Abid Sharifov,Azerbaijan,10.2,WESTERN ASIA
5492,1243007525,C,Abiola Ajimobi,Nigeria,223.8,WESTERN AFRICA
4059,1242838276,C,Abir Al-Sahlani,Iraq,45.5,WESTERN ASIA
5395,1188297660,Stub,Abner Nuule,Namibia,2.6,SOUTHERN AFRICA
192,1176411375,Start,Aboubakr Belkaid,Algeria,46.8,NORTHERN AFRICA
3047,1234388675,Stub,Abraha Kassa,Eritrea,3.7,EASTERN AFRICA
3156,1225361777,C,Abraham Brodersson,Sweden,10.5,NORTHERN EUROPE
6360,1225529087,Stub,Abraham Gum Makuach,South Sudan,11.1,EASTERN AFRICA
3049,1145201600,Stub,Abraham Kidane,Eritrea,3.7,EASTERN AFRICA
6328,1187621034,Stub,Abraham Makoi Bol,South Sudan,11.1,EASTERN AFRICA
3058,1224366851,Start,Abraham Tekeste,Ethiopia,126.5,EASTERN AFRICA
270,1124441544,Stub,Abraão Gourgel,Angola,36.7,MIDDLE AFRICA
1929,1213485569,Start,Abraão Vicente,Cape Verde,0.6,WESTERN AFRICA
2689,1249386156,C,Abshir Aden Ferro,Somalia,18.1,EASTERN AFRICA
2852,1220128786,Stub,Abu Bakar (Indonesian politician),Indonesia,278.7,SOUTHEAST ASIA
5307,1245183760,Stub,Abu Bakr Ibn Abi Zaid as-Slawi,Morocco,37.0,NORTHERN AFRICA
4003,1249134858,FA,Abu Bakr al-Baghdadi,Iraq,45.5,WESTERN ASIA
5759,1249128280,Stub,Abu Omar Hassan,Palestinian Territory,5.5,WESTERN ASIA
4878,1247356705,Stub,Abu Samah Mohd Kassim,Malaysia,33.4,SOUTHEAST ASIA
4403,915926912,Start,Abu Sayyaf (Jordan),Jordan,11.4,WESTERN ASIA
4728,1151531086,Stub,Abu Youssef Sharqieh,Lebanon,5.4,WESTERN ASIA
5643,1247807912,C,Abubakar Sadiku Ohere,Nigeria,223.8,WESTERN AFRICA
5519,1250135459,GA,Abubakar Tafawa Balewa,Nigeria,223.8,WESTERN AFRICA
5686,1248763179,Stub,Abubakar Y. Suleiman,Nigeria,223.8,WESTERN AFRICA
6348,1167584381,Stub,Abudhok Ayang Kur,South Sudan,11.1,EASTERN AFRICA
2688,1195269235,Stub,Abukar Umar Adani,Somalia,18.1,EASTERN AFRICA
748,1232200030,C,Abul Hashim,Bangladesh,173.5,SOUTH ASIA
811,1246347372,Start,Abul Kalam Shamsuddin,Bangladesh,173.5,SOUTH ASIA
783,1232782976,C,Abul Kashem,Bangladesh,173.5,SOUTH ASIA
784,1245380771,C,Abul Kashem Khan,Bangladesh,173.5,SOUTH ASIA
6503,1153207621,Start,Achille Casanova,Switzerland,8.8,WESTERN EUROPE
3622,1172887309,Start,Achkar Marof,Guinea,14.2,WESTERN AFRICA
2842,1230368008,Start,Achmadi Hadisoemarto,Indonesia,278.7,SOUTHEAST ASIA
1945,1243871975,Stub,Achta Ahmat Bremé,Chad,18.3,MIDDLE AFRICA
264,1244123151,Stub,Adalberto Costa Júnior,Angola,36.7,MIDDLE AFRICA
4950,1225936272,Stub,Adam Azim (politician),Maldives,0.6,SOUTH ASIA
2365,1231411435,Start,Adam Bogosavljević,Serbia,6.6,SOUTHERN EUROPE
6604,1152096144,Stub,Adam Kimbisa,Tanzania,67.4,EASTERN AFRICA
4953,1226315175,Stub,Adam Naseer Ibrahim,Maldives,0.6,SOUTH ASIA
2324,1245862304,Stub,Adam Oster,Croatia,3.8,SOUTHERN EUROPE
1224,1235389212,Start,Adam Ronikier,Poland,37.7,EASTERN EUROPE
3447,1243650424,C,"Adam, Count of Schwarzenberg",Germany,84.9,WESTERN EUROPE
1454,1247049881,C,Adamir Jerković,Bosnia Herzegovina,3.4,SOUTHERN EUROPE
4625,1246062311,Stub,Adan Nooru,Kenya,55.1,EASTERN AFRICA
6940,1246247019,Start,Addy Valero,Venezuela,28.8,SOUTH AMERICA
2890,1249078383,Start,Ade Komarudin,Indonesia,278.7,SOUTHEAST ASIA
5522,1200803605,Start,Adebayo Johnson Bankole,Nigeria,223.8,WESTERN AFRICA
5657,1177285621,Start,Adedayo Omolafe,Nigeria,223.8,WESTERN AFRICA
5484,1241186305,Stub,Adedeji Adeleke,Nigeria,223.8,WESTERN AFRICA
5815,1233403898,Start,Adel Zawati,Palestinian Territory,5.5,WESTERN ASIA
5485,1217429640,Start,Adelere Adeyemi Oriolowo,Nigeria,223.8,WESTERN AFRICA
3459,1222297199,Start,Adelheid Tröscher,Germany,84.9,WESTERN EUROPE
164,1244603844,Start,Adem Hodža,Kosovo,1.7,SOUTHERN EUROPE
3075,1015964623,Stub,Adem Ibrahim,Ethiopia,126.5,EASTERN AFRICA
3082,1225860802,Stub,Adem Mohammed,Ethiopia,126.5,EASTERN AFRICA
1462,1227059736,C,Ademaga Mešić,Bosnia Herzegovina,3.4,SOUTHERN EUROPE
1508,1232135695,Stub,Ademar Frederico Duwe,Brazil,204.0,SOUTH AMERICA
2690,1241124928,Start,Aden Isaq Ahmed,Somalia,18.1,EASTERN AFRICA
2757,919377968,Stub,Aden Saran-Sor,Somalia,18.1,EASTERN AFRICA
4510,1247704434,Start,Adham Ahmedbaev,Uzbekistan,36.4,CENTRAL ASIA
6390,1234479270,C,Adil Abdel Aati,Sudan,48.1,NORTHERN AFRICA
444,1221969287,C,Adil Arslan,Syria,23.2,WESTERN ASIA
4469,1243509994,Start,Adil Shayakhmetov,Kazakhstan,19.9,CENTRAL ASIA
5199,1250125510,Start,Adilgerei Magomedtagirov,Russia,146.9,EASTERN EUROPE
3918,1240519421,Start,Aditya Yadav,India,1428.6,SOUTH ASIA
265,1242000475,Start,Adjany Costa,Angola,36.7,MIDDLE AFRICA
2899,1232167137,Start,Adjie Massaid,Indonesia,278.7,SOUTHEAST ASIA
1664,1191752848,Start,Adnan Jashari,North Macedonia,1.8,SOUTHERN EUROPE
4001,1168509455,Start,Adnan al-Assadi,Iraq,45.5,WESTERN ASIA
4082,1249655896,Stub,Adnan al-Zurfi,Iraq,45.5,WESTERN ASIA
6501,1158603291,Start,Adolf Bühler Jr.,Switzerland,8.8,WESTERN EUROPE
1136,1218534256,Start,Adolf Ciborowski,Poland,37.7,EASTERN EUROPE
3212,1231611546,Start,Adolf Ludvig Stierneld,Sweden,10.5,NORTHERN EUROPE
3433,1237840723,Start,Adolf Pilar von Pilchau,Germany,84.9,WESTERN EUROPE
1416,1248979046,Stub,Adolfo Chávez,Bolivia,12.2,SOUTH AMERICA
1425,1214469646,Stub,Adolfo Mendoza,Bolivia,12.2,SOUTH AMERICA
1340,1224501115,Start,Adolphe Van Glabbeke,Belgium,11.8,WESTERN EUROPE
5705,1248909385,C,Adolphus Wabara,Nigeria,223.8,WESTERN AFRICA
1098,1247770485,B,Adomas Prūsas,Lithuania,2.9,NORTHERN EUROPE
1058,1156077882,Stub,Adomas Ąžuolas Audickas,Lithuania,2.9,NORTHERN EUROPE
5065,1201441837,Stub,Adrian Albu,Moldova,3.4,EASTERN EUROPE
921,1079840895,Stub,Adrian Forde,Barbados,0.3,CARIBBEAN
133,1196135017,Start,Adrian Neritani,Albania,2.7,SOUTHERN EUROPE
5038,1193460688,C,Adrien d'Épinay,Mauritania,4.9,WESTERN AFRICA
165,1241300455,Start,Adrijana Hodžić,Kosovo,1.7,SOUTHERN EUROPE
252,1209524394,Stub,Adão Francisco Correia de Almeida,Angola,36.7,MIDDLE AFRICA
6367,919576350,Stub,Afikaano Monday,South Sudan,11.1,EASTERN AFRICA
5373,1240532685,C,Afonso Dhlakama,Mozambique,33.9,EASTERN AFRICA
6363,1249472514,C,Africano Mande,South Sudan,11.1,EASTERN AFRICA
1654,1249210667,Start,Afrim Gashi,North Macedonia,1.8,SOUTHERN EUROPE
148,1241836925,Stub,Afrim Tole,Albania,2.7,SOUTHERN EUROPE
635,1243747432,Start,Afshan Gadimbeyova,Azerbaijan,10.2,WESTERN ASIA
3594,1183485100,Start,Agapito Robleda Castro,Honduras,9.7,CENTRAL AMERICA
1793,1227287425,Start,Agathon Rwasa,Burundi,13.2,EASTERN AFRICA
1151,1220667014,Start,Agaton Giller,Poland,37.7,EASTERN EUROPE
3059,1242182622,Start,Agegnehu Teshager,Ethiopia,126.5,EASTERN AFRICA
3924,1238541366,Start,Aghapour Alishahi,Iran,89.2,SOUTH ASIA
2965,1246861962,C,Agustín Intriago,Ecuador,17.1,SOUTH AMERICA
7031,1233377690,Start,Aguy Georgias,Zimbabwe,16.7,EASTERN AFRICA
3468,1187316535,Start,Agyen Kokobo,Ghana,34.1,WESTERN AFRICA
3260,1219133343,C,Agénor de Gasparin,France,65.9,WESTERN EUROPE
4659,1229181962,Stub,Ahmad Abdulwahab Al-Awadhi,Kuwait,4.4,WESTERN ASIA
5768,1243507818,Start,Ahmad Agha Duzdar,Palestinian Territory,5.5,WESTERN ASIA
3035,1177332322,Stub,Ahmad Al Tayer,United Arab Emirates,9.5,WESTERN ASIA
3962,1215077290,Stub,Ahmad Ali Moghimi,Iran,89.2,SOUTH ASIA
2847,1247255923,Start,Ahmad Azhary,Indonesia,278.7,SOUTHEAST ASIA
5592,1248223796,C,Ahmad Babba Kaita,Nigeria,223.8,WESTERN AFRICA
4773,1243766987,Stub,Ahmad Bishti,Libya,6.9,NORTHERN AFRICA
456,1221200569,Stub,Ahmad Diyab,Syria,23.2,WESTERN ASIA
4411,1244983632,Start,Ahmad Hanandeh,Jordan,11.4,WESTERN ASIA
4020,1191190290,Start,Ahmad Hardi,Iraq,45.5,WESTERN ASIA
4879,1243383117,Start,Ahmad Kamil Jaafar,Malaysia,33.4,SOUTHEAST ASIA
664,1187254621,Stub,Ahmad Kordary,Azerbaijan,10.2,WESTERN ASIA
4423,1244820946,Stub,Ahmad Masa'deh,Jordan,11.4,WESTERN ASIA
3005,1204273685,Start,Ahmad Mazlum,Egypt,105.2,NORTHERN AFRICA
6393,1215350519,C,Ahmad Muhammad Salih,Sudan,48.1,NORTHERN AFRICA
4071,1137404867,Start,Ahmad Muhammad Yahya,Iraq,45.5,WESTERN ASIA
4660,1245794305,Start,Ahmad Nasser Al-Mohammad Al-Sabah,Kuwait,4.4,WESTERN ASIA
2984,1216528648,Start,Ahmad Pasha al-Munkali,Egypt,105.2,NORTHERN AFRICA
5810,1244906850,C,Ahmad Shukeiri,Palestinian Territory,5.5,WESTERN ASIA
3987,1247958597,Start,Ahmad Toyserkani Ravari,Iran,89.2,SOUTH ASIA
48,1221720658,Start,Ahmad Wali Massoud,Afghanistan,42.4,SOUTH ASIA
4880,1240901693,C,Ahmad Zaidi Adruce,Malaysia,33.4,SOUTHEAST ASIA
6676,1192641571,B,Ahmad ibn Abi Diyaf,Tunisia,11.9,NORTHERN AFRICA
1879,1246372641,FA,Ahmadou Ahidjo,Cameroon,28.1,MIDDLE AFRICA
5528,1246222626,C,Ahmadu Bello,Nigeria,223.8,WESTERN AFRICA
77,1171042170,Start,Ahmadullah Wasiq,Afghanistan,42.4,SOUTH ASIA
4533,1246061443,Stub,Ahmed Abass,Kenya,55.1,EASTERN AFRICA
4628,1231599786,Stub,Ahmed Abdi Ogle,Kenya,55.1,EASTERN AFRICA
2687,1243727922,C,Ahmed Abdisalam Adan,Somalia,18.1,EASTERN AFRICA
3993,1210659335,Stub,Ahmed Abdul-Ghafur,Iraq,45.5,WESTERN ASIA
4032,1161592238,Start,Ahmed Abdullah al-Jubouri,Iraq,45.5,WESTERN ASIA
